Tm,Year,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
Arizona Cardinals,2010,"1,022,730","502,197","520,533","52,440","66,824","62,439","62,189","62,621",Bye,"67,132","61,857","64,120","61,904","66,247","62,308","61,874","62,223","71,849","66,971","69,732"
Atlanta Falcons,2010,"1,056,190","542,800","513,390","63,609","66,824","70,051","66,874","65,290","69,144","67,665",Bye,"67,266","68,474","53,005","68,204","53,955","71,235","67,101","70,144","67,349"
Baltimore Ravens,2010,"1,123,436","569,817","553,619","78,127","64,071","71,119","64,729","71,246","68,756","71,220",Bye,"71,305","68,474","73,021","70,989","71,418","71,413","71,432","65,028","71,088"
Buffalo Bills,2010,"1,034,650","493,112","541,538","69,295","70,741","68,756","69,262","58,304",Bye,"71,220","66,625","50,746","56,721","55,654","69,642","64,012","50,861","65,511","68,281","79,019"
Carolina Panthers,2010,"1,084,908","580,965","503,943","77,245","72,577","72,887","70,016","73,464",Bye,"72,741","52,281","73,191","44,264","73,021","64,463","66,577","71,235","71,849","61,748","67,349"
Chicago Bears,2010,"1,022,863","497,561","525,302","62,080","85,168","62,179","77,716","73,464","62,137","62,155",Bye,"50,746","62,206","68,752","62,147","58,119","62,347","40,504","62,310","70,833"
Cincinnati Bengals,2010,"1,033,852","482,917","550,935","68,756","64,071","72,887","66,731","63,888",Bye,"67,665","63,179","65,626","67,404","55,654","78,903","59,963","57,501","56,342","54,194","71,088"
Cleveland Browns,2010,"1,017,907","528,933","488,974","47,211","65,377","71,119","66,731","65,290","65,168","70,077",Bye,"66,292","67,449","62,254","64,463","65,942","50,861","56,342","65,028","68,303"
Dallas Cowboys,2010,"1,277,973","696,377","581,596","90,670","85,168","71,456",Bye,"90,616","64,120","91,375","81,395","70,913","80,851","81,261","93,985","67,471","85,673","86,904","66,971","69,144"
Denver Broncos,2010,"1,129,448","599,264","530,184","63,636","75,130","76,401","69,143","71,246","75,982","75,835","83,941",Bye,"75,334","68,482","72,736","67,267","62,223","44,246","73,691","74,155"
Detroit Lions,2010,"977,218","450,286","526,932","62,080","56,688","63,377","70,729","55,714","78,341",Bye,"46,329","57,799","56,721","81,261","60,965","58,119","57,659","47,692","66,731","57,013"
Green Bay Packers,2010,"1,122,668","566,362","556,306","69,144","70,741","62,179","70,729","87,760","70,815","71,107","78,484","70,913",Bye,"64,120","68,204","70,575","57,659","68,756","70,649","70,833"
Houston Texans,2010,"1,108,625","568,643","539,982","70,974","88,240","71,456","32,218","71,110","70,926",Bye,"66,363","70,886","62,340","78,843","70,855","69,144","71,413","69,143","73,691","71,023"
