Coach,Year,Tm,G,W,L,T,wTeam_G,wTeam_W,wTeam_L,wTeam_T,Career_G,Career_W,Career_L,Career_T,G_yearplyf,W_yearplyf,L_yearplyf,G_wTeamplyf,W_wTeamplyf,L_wTeamplyf,G_Careerplyf,W_Careerplyf,L_Careerplyf,Remark
Bruce Arians,2015,ARI,16,13,3,0,80,49,30,1,96,56,39,1,2,1,1,3,1,2,3,1,2,
Dan Quinn,2015,ATL,16,8,8,0,80,43,37,0,80,43,37,0,0,0,0,5,3,2,5,3,2,
John Harbaugh,2015,BAL,16,5,11,0,192,118,74,0,192,118,74,0,,,,17,10,7,17,10,7,
Rex Ryan,2015,BUF,16,8,8,0,31,15,16,0,127,61,66,0,,,,0,0,0,6,4,2,
Ron Rivera,2015,CAR,16,15,1,0,140,76,63,1,140,76,63,1,3,2,1,7,3,4,7,3,4,
John Fox,2015,CHI,16,6,10,0,48,14,34,0,256,133,123,0,,,,,,,15,8,7,
Marvin Lewis,2015,CIN,16,12,4,0,256,131,122,3,256,131,122,3,1,0,1,7,0,7,7,0,7,
Mike Pettine,2015,CLE,16,3,13,0,32,10,22,0,32,10,22,0,,,,0,0,0,0,0,0,
Jason Garrett,2015,DAL,16,4,12,0,152,85,67,0,152,85,67,0,,,,5,2,3,5,2,3,
Gary Kubiak,2015,DEN,16,12,4,0,32,21,11,0,157,82,75,0,3,3,0,3,3,0,7,5,2,Super Bowl Champions
Jim Caldwell,2015,DET,16,7,9,0,64,36,28,0,112,62,50,0,,,,2,0,2,6,2,4,
Mike McCarthy,2015,GNB,16,10,6,0,204,125,77,2,204,125,77,2,2,1,1,18,10,8,18,10,8,
Bill O'Brien,2015,HOU,16,9,7,0,96,52,44,0,96,52,44,0,1,0,1,6,2,4,6,2,4,
Chuck Pagano,2015,IND,16,8,8,0,96,53,43,0,96,53,43,0,,,,6,3,3,6,3,3,
Gus Bradley,2015,JAX,16,5,11,0,62,14,48,0,62,14,48,0,,,,0,0,0,0,0,0,
Andy Reid,2015,KAN,16,11,5,0,112,77,35,0,336,207,128,1,2,1,1,10,5,5,29,15,14,
Dan Campbell,2015,MIA,12,5,7,0,12,5,7,0,12,5,7,0,,,,,,,,,,Replaced Joe Philbin after Week 4
Joe Philbin,2015,MIA,4,1,3,0,52,24,28,0,56,26,30,0,0,0,0,0,0,0,0,0,0,Fired after Week 4
Mike Zimmer,2015,MIN,16,11,5,0,96,57,38,1,96,57,38,1,1,0,1,5,2,3,5,2,3,
Sean Payton,2015,NOR,16,7,9,0,208,131,77,0,208,131,77,0,,,,15,8,7,15,8,7,
Bill Belichick,2015,NWE,16,12,4,0,320,237,83,0,400,273,127,0,2,1,1,41,30,11,43,31,12,
Tom Coughlin,2015,NYG,16,6,10,0,192,102,90,0,320,170,150,0,,,,11,8,3,19,12,7,
Todd Bowles,2015,NYJ,16,10,6,0,64,24,40,0,67,26,41,0,,,,,,,0,0,0,
Jack Del Rio,2015,OAK,16,7,9,0,48,25,23,0,187,93,94,0,,,,1,0,1,4,1,3,
Chip Kelly,2015,PHI,15,6,9,0,47,26,21,0,63,28,35,0,0,0,0,1,0,1,1,0,1,Fired after Week 16
Pat Shurmur,2015,PHI,1,1,0,0,1,1,0,0,65,19,46,0,,,,,,,0,0,0,Interim head coach for Week 17
Mike Tomlin,2015,PIT,16,10,6,0,208,133,74,1,208,133,74,1,2,1,1,15,8,7,15,8,7,
Mike McCoy,2015,SDG,16,4,12,0,64,27,37,0,64,27,37,0,,,,2,1,1,2,1,1,
Pete Carroll,2015,SEA,16,10,6,0,160,100,59,1,224,133,90,1,2,1,1,17,10,7,20,11,9,
Jim Tomsula,2015,SFO,16,5,11,0,17,6,11,0,17,6,11,0,,,,0,0,0,0,0,0,
Jeff Fisher,2015,STL,16,7,9,0,77,31,45,1,339,173,165,1,,,,0,0,0,11,5,6,
Lovie Smith,2015,TAM,16,6,10,0,32,8,24,0,176,89,87,0,,,,0,0,0,6,3,3,
Ken Whisenhunt,2015,TEN,7,1,6,0,23,3,20,0,119,48,71,0,0,0,0,0,0,0,6,4,2,Fired after Week 8
Mike Mularkey,2015,TEN,9,2,7,0,41,20,21,0,89,36,53,0,,,,2,1,1,2,1,1,Replaced Ken Whisenhunt after Week 8
Jay Gruden,2015,WAS,16,9,7,0,85,35,49,1,85,35,49,1,1,0,1,1,0,1,1,0,1,
