Year,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Rushing_Att,Rushing_Yds,Rushing_TD,Receiving_Rec,Receiving_Yds,Receiving_TD,Solo,Int,Sk,College/Univ
2016,1,1,LAR,Jared Goff,QB,21,2019,0,2,3,41,41,54,1166,1869,14219,87,42,112,215,6,0,0,0,,,,California
2016,1,2,PHI,Carson Wentz,QB,23,2019,0,1,4,42,42,56,1311,2055,14191,97,35,206,785,3,2,11,0,,,,North Dakota St.
2016,1,3,SDG,Joey Bosa,DE,21,2019,0,2,3,32,32,51,0,0,0,0,0,0,0,0,0,0,0,148,,40,Ohio St.
2016,1,4,DAL,Ezekiel Elliott,RB,21,2019,1,3,4,49,49,56,0,0,0,0,0,1169,5405,40,189,1619,8,,,,Ohio St.
2016,1,5,JAX,Jalen Ramsey,CB,21,2019,1,3,3,37,32,60,0,0,0,0,0,0,0,0,0,0,0,213,10,,Florida St.
2016,1,6,BAL,Ronnie Stanley,T,22,2019,1,1,4,39,39,56,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame
2016,1,7,SFO,DeForest Buckner,DE,22,2019,0,1,4,37,37,63,0,0,0,0,0,0,0,0,0,0,0,166,,28.5,Oregon
2016,1,8,TEN,Jack Conklin,T,22,2019,1,0,4,34,34,57,0,0,0,0,0,0,0,0,0,0,0,1,,,Michigan St.
2016,1,9,CHI,Leonard Floyd,OLB,23,2019,0,0,4,27,27,54,0,0,0,0,0,0,0,0,0,0,0,108,1,18.5,Georgia
2016,1,10,NYG,Eli Apple,CB,21,2019,0,0,2,16,8,55,0,0,0,0,0,0,0,0,0,0,0,197,3,,Ohio St.
2016,1,11,TAM,Vernon Hargreaves,CB,21,2019,0,0,1,13,12,41,0,0,0,0,0,0,0,0,0,0,0,163,2,,Florida
2016,1,12,NOR,Sheldon Rankins,DT,22,2019,0,0,2,15,15,51,0,0,0,0,0,0,0,0,0,0,0,64,1,16,Louisville
2016,1,13,MIA,Laremy Tunsil,T,22,2019,0,1,4,28,17,58,0,0,0,0,0,0,0,0,0,0,0,,,,Mississippi
2016,1,14,OAK,Karl Joseph,S,22,2019,0,0,4,14,14,49,0,0,0,0,0,0,0,0,0,0,0,174,4,3,West Virginia
2016,1,15,CLE,Corey Coleman,WR,22,2018,0,0,2,6,5,27,0,0,0,0,0,3,15,0,61,789,5,,,,Baylor
2016,1,16,DET,Taylor Decker,T,23,2019,0,0,4,28,28,55,0,0,0,0,0,0,0,0,1,11,1,,,,Ohio St.
2016,1,17,ATL,Keanu Neal,S,21,2019,0,1,2,13,13,34,0,0,0,0,0,0,0,0,0,0,0,167,1,,Florida
2016,1,18,IND,Ryan Kelly,C,23,2019,0,1,3,25,25,51,0,0,0,0,0,0,0,0,1,-4,0,,,,Alabama
2016,1,19,BUF,Shaq Lawson,DE,22,2019,0,0,1,11,11,50,0,0,0,0,0,0,0,0,0,0,0,63,,16.5,Clemson
2016,1,20,NYJ,Darron Lee,OLB,21,2019,0,0,3,20,18,56,0,0,0,0,0,0,0,0,0,0,0,177,3,4,Ohio St.
2016,1,21,HOU,Will Fuller,WR,22,2019,0,0,3,18,18,42,0,0,0,0,0,3,6,0,156,2231,16,,,,Notre Dame
2016,1,22,WAS,Josh Doctson,WR,23,2019,0,0,2,9,9,34,0,0,0,0,0,1,-14,0,81,1100,8,,,,TCU
2016,1,23,MIN,Laquon Treadwell,WR,21,2019,0,0,0,6,6,53,0,0,0,0,0,0,0,0,65,701,2,1,,,Mississippi
2016,1,24,CIN,William Jackson,CB,23,2019,0,0,2,11,11,45,0,0,0,0,0,0,0,0,0,0,0,81,2,1,Houston
2016,1,25,PIT,Artie Burns,CB,21,2019,0,0,1,14,14,58,0,0,0,0,0,0,0,0,0,0,0,121,4,,Miami (FL)
2016,1,26,DEN,Paxton Lynch,QB,22,2017,0,0,0,2,2,5,79,128,792,4,4,16,55,0,0,0,0,,,,Memphis
2016,1,27,GNB,Kenny Clark,DT,20,2019,0,1,3,28,28,60,0,0,0,0,0,0,0,0,0,0,0,112,,16.5,UCLA
2016,1,28,SFO,Joshua Garnett,G,22,2018,0,0,1,5,5,22,0,0,0,0,0,0,0,0,0,0,0,,,,Stanford
2016,1,29,ARI,Robert Nkemdiche,DT,21,2019,0,0,0,6,6,29,0,0,0,0,0,0,0,0,0,0,0,26,,4.5,Mississippi
2016,1,30,CAR,Vernon Butler,DT,22,2019,0,0,1,7,7,52,0,0,0,0,0,0,0,0,0,0,0,41,,8,Louisiana Tech
2016,1,31,SEA,Germain Ifedi,G,22,2019,0,0,4,27,27,60,0,0,0,0,0,0,0,0,0,0,0,,,,Texas A&M
2016,2,32,CLE,Emmanuel Ogbah,DE,22,2019,0,0,3,20,17,50,0,0,0,0,0,0,0,0,0,0,0,93,,18,Oklahoma St.
2016,2,33,TEN,Kevin Dodd,DE,24,2017,0,0,0,2,2,18,0,0,0,0,0,0,0,0,0,0,0,9,,1,Clemson
2016,2,34,DAL,Jaylon Smith,OLB,21,2019,0,1,2,23,23,48,0,0,0,0,0,0,0,0,0,0,0,215,1,7.5,Notre Dame
2016,2,35,SDG,Hunter Henry,TE,21,2019,0,0,3,13,13,41,0,0,0,0,0,0,0,0,136,1709,17,,,,Arkansas
2016,2,36,JAX,Myles Jack,OLB,21,2019,0,0,3,27,27,59,0,0,0,0,0,0,0,0,0,0,0,201,2,5.5,UCLA
2016,2,37,KAN,Chris Jones,DT,22,2019,0,1,3,28,28,61,0,0,0,0,0,0,0,0,0,0,0,97,2,33,Mississippi St.
2016,2,38,MIA,Xavien Howard,CB,23,2019,0,1,2,18,18,40,0,0,0,0,0,0,0,0,0,0,0,108,12,1,Baylor
2016,2,39,TAM,Noah Spence,DE,22,2019,0,0,0,5,5,41,0,0,0,0,0,0,0,0,0,0,0,24,,7.5,East. Kentucky
2016,2,40,NYG,Sterling Shepard,WR,23,2019,0,0,4,21,21,53,0,0,0,0,0,16,140,0,247,2862,17,,,,Oklahoma
2016,2,41,BUF,Reggie Ragland,ILB,22,2019,0,0,1,14,,42,0,0,0,0,0,0,0,0,0,0,0,100,1,2.5,Alabama
2016,2,42,BAL,Kamalei Correa,DE,22,2019,0,0,0,10,3,54,0,0,0,0,0,0,0,0,0,0,0,52,,8.5,Boise St.
2016,2,43,TEN,Austin Johnson,NT,22,2019,0,0,1,11,11,58,0,0,0,0,0,0,0,0,0,0,0,46,,2.5,Penn St.
2016,2,44,OAK,Jihad Ward,DE,22,2019,0,0,1,9,6,41,0,0,0,0,0,0,0,0,0,0,0,24,,5,Illinois
2016,2,45,TEN,Derrick Henry,RB,22,2019,0,1,2,27,27,62,2,3,14,0,0,804,3833,38,57,578,3,,,,Alabama
2016,2,46,DET,A'Shawn Robinson,DT,21,2019,0,0,1,20,20,58,0,0,0,0,0,0,0,0,0,0,0,120,1,5,Alabama
