Coach,Year,Tm,G,W,L,T,wTeam_G,wTeam_W,wTeam_L,wTeam_T,Career_G,Career_W,Career_L,Career_T,G_yearplyf,W_yearplyf,L_yearplyf,G_wTeamplyf,W_wTeamplyf,L_wTeamplyf,G_Careerplyf,W_Careerplyf,L_Careerplyf,Remark
Bruce Arians,2013,ARI,16,10,6,0,80,49,30,1,96,56,39,1,0,0,0,3,1,2,3,1,2,
Mike Smith,2013,ATL,16,4,12,0,112,66,46,0,112,66,46,0,0,0,0,5,1,4,5,1,4,
John Harbaugh,2013,BAL,16,8,8,0,192,118,74,0,192,118,74,0,0,0,0,17,10,7,17,10,7,
Doug Marrone,2013,BUF,16,6,10,0,32,15,17,0,82,37,45,0,0,0,0,0,0,0,3,2,1,
Ron Rivera,2013,CAR,16,12,4,0,140,76,63,1,140,76,63,1,1,0,1,7,3,4,7,3,4,
Marc Trestman,2013,CHI,16,8,8,0,32,13,19,0,32,13,19,0,0,0,0,0,0,0,0,0,0,
Marvin Lewis,2013,CIN,16,11,5,0,256,131,122,3,256,131,122,3,1,0,1,7,0,7,7,0,7,
Rob Chudzinski,2013,CLE,16,4,12,0,16,4,12,0,16,4,12,0,0,0,0,0,0,0,0,0,0,
Jason Garrett,2013,DAL,16,8,8,0,152,85,67,0,152,85,67,0,0,0,0,5,2,3,5,2,3,
John Fox,2013,DEN,16,13,3,0,64,46,18,0,256,133,123,0,3,2,1,7,3,4,15,8,7,AFC Champions
Jim Schwartz,2013,DET,16,7,9,0,80,29,51,0,80,29,51,0,0,0,0,1,0,1,1,0,1,
Mike McCarthy,2013,GNB,16,8,7,1,204,125,77,2,204,125,77,2,1,0,1,18,10,8,18,10,8,
Gary Kubiak,2013,HOU,13,2,11,0,125,61,64,0,157,82,75,0,0,0,0,4,2,2,7,5,2,
Wade Phillips,2013,HOU,3,0,3,0,3,0,3,0,146,82,64,0,0,0,0,0,0,0,6,1,5,
Chuck Pagano,2013,IND,16,11,5,0,96,53,43,0,96,53,43,0,2,1,1,6,3,3,6,3,3,
Gus Bradley,2013,JAX,16,4,12,0,62,14,48,0,62,14,48,0,0,0,0,0,0,0,0,0,0,
Andy Reid,2013,KAN,16,11,5,0,112,77,35,0,336,207,128,1,1,0,1,10,5,5,29,15,14,
Joe Philbin,2013,MIA,16,8,8,0,52,24,28,0,56,26,30,0,0,0,0,0,0,0,0,0,0,
Leslie Frazier,2013,MIN,16,5,10,1,54,21,32,1,54,21,32,1,0,0,0,1,0,1,1,0,1,
Sean Payton,2013,NOR,16,11,5,0,208,131,77,0,208,131,77,0,2,1,1,15,8,7,15,8,7,
Bill Belichick,2013,NWE,16,12,4,0,320,237,83,0,400,273,127,0,2,1,1,41,30,11,43,31,12,
Tom Coughlin,2013,NYG,16,7,9,0,192,102,90,0,320,170,150,0,0,0,0,11,8,3,19,12,7,
Rex Ryan,2013,NYJ,16,8,8,0,96,46,50,0,127,61,66,0,0,0,0,6,4,2,6,4,2,
Dennis Allen,2013,OAK,16,4,12,0,36,8,28,0,36,8,28,0,0,0,0,0,0,0,0,0,0,
Chip Kelly,2013,PHI,16,10,6,0,47,26,21,0,63,28,35,0,1,0,1,1,0,1,1,0,1,
Mike Tomlin,2013,PIT,16,8,8,0,208,133,74,1,208,133,74,1,0,0,0,15,8,7,15,8,7,
Mike McCoy,2013,SDG,16,9,7,0,64,27,37,0,64,27,37,0,2,1,1,2,1,1,2,1,1,
Pete Carroll,2013,SEA,16,13,3,0,160,100,59,1,224,133,90,1,3,3,0,17,10,7,20,11,9,Super Bowl Champions
Jim Harbaugh,2013,SFO,16,12,4,0,64,44,19,1,64,44,19,1,3,2,1,8,5,3,8,5,3,
Jeff Fisher,2013,STL,16,7,9,0,77,31,45,1,339,173,165,1,0,0,0,0,0,0,11,5,6,
Greg Schiano,2013,TAM,16,4,12,0,32,11,21,0,32,11,21,0,0,0,0,0,0,0,0,0,0,
Mike Munchak,2013,TEN,16,7,9,0,48,22,26,0,48,22,26,0,0,0,0,0,0,0,0,0,0,
Mike Shanahan,2013,WAS,16,3,13,0,64,24,40,0,308,170,138,0,0,0,0,1,0,1,14,8,6,
